"sample","sample_id","cell_line","Cell.Type","X..CA.cells","X..MN.cells","fraction_genome_subclonal"
"2259_p20","JBLAB-6316","CIOV1","CIOV1",29.9104879,5.84460769,4.47570179530422
"CIOV3_p7","JBLAB-6318","CIOV3","CIOV3",9.339942775,19.15805583,6.85229705646656
"IGROV-1","JBLAB-6351","IGROV1","IGROV-1",12.62434809,3.392180773,0.142332579807911
"JB126_p22","JBLAB-6381","CIOV2","CIOV2",40.09171551,8.411019684,8.78514956881601
"JBLAB-6319","JBLAB-6319","CIOV4","CIOV4",20.65162907,21.61236424,6.25067279055581
"JBLAB-6320","JBLAB-6320","CIOV5","CIOV5",24.27671927,6.206859768,23.4023466934587
"JBLAB-6321","JBLAB-6321","CIOV6","CIOV6",5.19228824,14.02321726,7.5723324602007
"JBLAB-6322","JBLAB-6322","2774","2774N",21.45298468,6.939622168,3.69945100290645
"JBLAB-6324","JBLAB-6324","59M","59M",20.1115618,43.96582773,9.86759481861567
"JBLAB-6325","JBLAB-6325","OV56","OV56",NA,NA,5.7423421483847
"JBLAB-6326","JBLAB-6326","COV362","COV362",29.76331044,16.14585699,13.3350078342723
"JBLAB-6327","JBLAB-6327","COV318","COV318",49.79955092,30.32293426,16.628990395541
"JBLAB-6328","JBLAB-6328","TOV-3133 D","TOV-3133 D",31.99549939,11.00915277,11.0134318896743
"JBLAB-6329","JBLAB-6329","OV-90","OV-90",37.51169434,24.54385973,3.97215544153002
"JBLAB-6331","JBLAB-6331","TOV-2835 EP","TOV-2835EP",36.76212121,14.0250398,23.2564258973531
"JBLAB-6332","JBLAB-6332","TOV-3041 G","TOV-3041G",28.91146662,13.12933021,31.2521678806798
"JBLAB-6334","JBLAB-6334","CAOV3","CAOV3",37.73885755,16.47114333,15.4532515220017
"JBLAB-6335","JBLAB-6335","OVSAHO","OVSAHO",29.09891951,41.45137648,23.2636023299484
"JBLAB-6336","JBLAB-6336","TOV-2881 EP","TOV-2881 EP",45.28925797,19.37096802,8.68467951248101
"JBLAB-6337","JBLAB-6337","TOV-2929 D","TOV-2929 D",32.79304675,45.87737844,9.71569366201395
"JBLAB-6338","JBLAB-6338","OV-2085","OV-2085",20.74246808,29.6184893,9.90228090949322
"JBLAB-6340","JBLAB-6340","OV-3331","OV-3331",30.15052453,14.36329916,0.142332579807911
"JBLAB-6341","JBLAB-6341","COV644","COV644 NL",48.89197968,6.904347093,21.558003516452
"JBLAB-6342","JBLAB-6342","A2780CIS","A2780-CIS",15.40390671,3.954831228,4.19940914038298
"JBLAB-6343","JBLAB-6343","A2780ADR","A2780-ADR",5.705021506,10.0781847,0.0837250469458299
"JBLAB-6344","JBLAB-6344","FT194","FT194",26.38275982,7.90578324,11.2825481120002
"JBLAB-6345","JBLAB-6345","FT246","FT246",39.64265152,19.12543198,4.62042651931058
"JBLAB-6346","JBLAB-6346","IOSE4","IOSE4",30.69370365,13.30347241,0.202136184769218
"JBLAB-6347","JBLAB-6347","FT33",NA,NA,NA,8.93944286961618
"JBLAB-6348","JBLAB-6348","NIH:OVCAR3","NIH:OVCAR3",38.46671449,18.22851585,15.1805470833782
"JBLAB-6349","JBLAB-6349","NA12878",NA,NA,NA,0.00478428839690457
"JBLAB-6350","JBLAB-6350","FUOV1","FUOV1",22.34536724,27.37115197,16.845479445501
"JBLAB-6352","JBLAB-6352","PEO1","PEO1",8.261863216,5.080890962,0.84921119045056
"JBLAB-6353","JBLAB-6353","PEO4","PEO4",6.865433675,4.37218376,0.00478428839690457
"JBLAB-6354","JBLAB-6354","PEO23","PEO23",37.0253616,19.05689832,28.4557513126891
"JBLAB-6355","JBLAB-6355","PEO14","PEO14",17.53438774,19.51470275,9.9238102072793
"JBLAB-6356","JBLAB-6356","PEA1","PEA1",6.644315507,14.23926149,12.0205245972227
"JBLAB-6357","JBLAB-6357","CIOV7","CIOV7",28.58187135,16.99926901,10.5110816079993
"JBLAB-6358","JBLAB-6358","OV-4485","OV-4485",34.79687333,19.98045406,9.66904685014413
"JBLAB-6360","JBLAB-6360","OV-90 (mes-masson)","OV-90(MesMasson)",50.44310005,16.0904502,19.4194266030356
"JBLAB-6361","JBLAB-6361","OV-4453","OV-4453",24.39401654,27.37885755,28.5825349552071
"JBLAB-6362","JBLAB-6362","TOV-3121 EP","TOV-3121 EP",33.29572153,24.72250762,13.5825947588121
"JBLAB-6363","JBLAB-6363","OV-2295","OV-2295",30.45320879,29.72166615,10.2862200533448
"JBLAB-6365","JBLAB-6365","TOV-2295","TOV-2295",35.17886125,14.27284446,23.9226380566221
"JBLAB-6366","JBLAB-6366","OV-3133","OV-3133",35.71271078,18.96659182,16.8227540756157
"JBLAB-6367","JBLAB-6367","TOV-1369 M","TOV-1369M",47.23097888,15.91540054,20.9396342411521
"JBLAB-6368","JBLAB-6368","OV-2295 (2)","OV-2295(2)",35.15037249,48.93760455,7.0233353666559
"JBLAB-6369","JBLAB-6369","OV-866 (2)","OV-866(2)",26.72402597,13.48036487,21.5173370650783
"JBLAB-6370","JBLAB-6370","TOV-1946","TOV-1946",20.92060652,15.7845405,3.31551185905486
"JBLAB-6371","JBLAB-6371","OV-1946","OV-1946",29.95564282,17.41378331,11.8997213152009
"JBLAB-6372","JBLAB-6372","TOV-3133 G","TOV-3133G",36.39756724,15.29665341,6.72072912555169
"JBLAB-6373","JBLAB-6373","COV413A","COV413A",13.6907292,5.264729897,0.179410814883921
"JBLAB-6374","JBLAB-6374","CAOV4","CAOV4",21.83157004,12.93296763,18.2711973877785
"JBLAB-6379","JBLAB-6379","OVKATE","OVKATE",25.24209167,5.338283063,1.93285251234944
"JBLAB-6383","JBLAB-6383","PEA2","PEA2",33.05738005,15.92115295,6.7853170189099
"JBLAB-6384","JBLAB-6384","OVCAR-5","OVCAR-5",14.58434826,3.301915515,9.93816307247001
"JBLAB-6385","JBLAB-6385","HOC-7","HOC-7",25.94861525,3.678094291,3.84058751061514
"JBLAB-6387","JBLAB-6387","COV362.4","COV362.4",29.62976393,10.55555984,14.9568816008229
"JBLAB-6388","JBLAB-6388","OV17R","OV17R NL",15.61862393,10.91992642,13.434281818508
"JBLAB-6389","JBLAB-6389","ES2","ES-2",29.14320101,6.940309559,31.067972777399
"JBLAB-6390","JBLAB-6390","OVCAR-8","OVCAR-8",31.70680733,9.019460258,6.680062674178
"JBLAB-6391","JBLAB-6391","OV-2085 (2)","OV-2085(2)",28.86114902,20.08279844,28.7392204002057
"JBLAB-6392","JBLAB-6392","TOV-3121 D",NA,NA,NA,26.7967993110625
